"Data Source","World Development Indicators",
"Greenland","GRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","238437","237349","239682","","246754","247014","","","255636","","","243826","275243","256805","","","","","","","","","","","","","","231120","","151801","133852","146720","121617","","81718","69224","54612","46112","49304","21560","33593","62042","96779","124370","146293","148648","154730","","",
"Guam","GUM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","9027","8101","","6758","","9255","5943","","8402","","","7829","","","","","","","","","4055","5130","6091","","4971","5756","","","","","","","6229","","","","","1583","4124","2241","1404","2725","","","","","","",
"High income","HIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","4454645","4419455","4458376","4206532","4288479","4109114","3806769","3693995","3562657","3517316","2429593","2471220","2305819","2608083","2800097","2737404","2398610","2113304","1925853","1792534","1700929","1685320","1888483","1923349","1974876","1812677","1883087","2073146","1561791","1524638","1535081","1571221","1684324","1534316","1550671","1332579","1244662","1087460","980834","1226492","1259529","1478367","1332936","1412746","1489737","1298266","1164846","1179290","",
"Hong Kong SAR, China","HKG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","34730","31293","31121","25232","19861","17952","14472","15715","15234","4534","5060","8516","9899","11463","14338","","","","","","","","","","20732","18651","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","77156","77649","","47062","45407","44292","","52209","","","","","62950","","59962","","","","","","","80688","","","71475","63682","87739","56687","89803","68941","76228","76513","70039","91196","109661","108257","118552","107283","102404","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","10381876","10513448","10707322","10604752","10505459","10436454","10443516","10502313","10427287","10444026","10869460","10990846","11370336","11731680","12106580","12732065","13212933","13952330","14726766","14876778","15673667","16266044","16438149","16046424","16346630","15786298","16237671","16854239","16498621","15882603","14930065","14223381","13696959","12936274","12409661","11789787","10655470","10887102","11236774","10846845","10915100","10613657","10623255","10877886","10918335","11204594","",
"Croatia","HRV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18282","8077","6314","3573","1397","","","2022","2051","2263","4106","8601","5940","3709","2210","2570","2435","2462","3532","","",
"Haiti","HTI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","272599","247424","235146","255805","235716","235835","294553","","","","","","","","","","283128","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52103","31393","10727","10066","8961","8059","7752","10015","10588","7927","6516","7955","6161","5577","6235","7525","8545","8478","8005","7597","6475","","",
"IBRD only","IBD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","23816523","24479801","24391174","22913215","22608437","22052911","21588226","21242421","22413993","21930062","20981777","20020997","19661438","19214577","18296448","17330376","15990172","15511889","14764411","13465384","13175759","13229852","14359545","15028085","15857180","17684531","18529431","19800368","17914029","15603686","14433458","13693601","11460411","11226601","9930046","10754195","10190364","7880820","8109246","9172346","8580418","9372128","8188141","8197642","8108473","7571909","7579903","7579448","",
"IDA & IBRD total","IBT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","42584681","43385235","42952017","41136324","41116355","40503133","40060340","39499163","40661943","39938435","38899050","37824575","37559225","37314304","37455564","37417472","37249149","37794157","37517507","37262308","38009967","38266259","40068007","41270081","42478209","44405785","46216951","46879445","45288186","43429425","41084701","39644695","36425242","34948986","32464488","32308246","31710922","27657118","27850762","29043213","28614363","28860544","27820638","28215315","28198549","28096769","27849272","28536921","",
"IDA total","IDA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","18560843","18223109","18507919","18450222","18472114","18256742","18247950","18008373","17917274","17803577","17897787","18099727","19159116","20087096","21258977","22282268","22753096","23796924","24834208","25036407","25708462","26241996","26621029","26721254","27687520","27079077","27374156","27825738","26651243","25951094","24964830","23722385","22534442","21554051","21520558","19776298","19741516","19870867","20033945","19488417","19632497","20017674","20090075","20524860","20269368","20957473","",
"IDA blend","IDB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8224071","7995475","7551930","7569131","7745783","7498618","6961007","6986933","7521887","6190719","7312859","7085905","6982434","7023894","7153583","7501194","7340383","7507551","7185774","7567237","",
"Indonesia","IDN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2315603","2271475","","2213798","2272307","2050431","","1116015","","","627378","","","","","","58367","","60846","298707","431332","527815","709507","611817","615034","845184","843278","","","","416965","555819","587069","693378","761289","584608","204003","413577","253786","359827","654972","674430","1082328","1092565","","855875","689821","",
"IDA only","IDX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","13118351","13176630","12797662","12412521","12856732","12713994","12586111","12530806","12568409","12755978","12799390","12988298","13361234","13512449","14308997","14863233","15356799","16022678","16027263","16741480","17614526","17632264","18267944","18866725","19031440","18775253","19048462","18641032","19150086","19830263","19099313","18381963","17219047","16223768","15573435","14567117","13998672","13585578","12428657","12784961","13051511","12464523","12478914","12516479","12749693","13017309","13083595","13390236","",
"Isle of Man","IMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","9901496","","","","","","","","","","","","","","","","","","","6173761","","","","","","","","","","5615456","6175160","6703339","6403045","","","","1534514","2371841","3627123","3130002","3686461","2450842","1962707","","","","","",
"Not classified","INX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","11025","13327","13248","14636","13606","10604","8426","8417","10862","15475","22019","28055","32832","","","36327","34118","31401","29988","28718","28857","29742","29620","28684","27262","24943","","1972","","","778","","","","","","","","","1033","5752","804","994","1194","","51","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","256833","302745","317728","334040","360385","401362","141590","","42521","","","","","225599","","559297","579325","","174667","200555","89434","103072","","37640","","","","","","","","","","","",
"Iraq","IRQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","172138","151907","134442","120527","161558","75517","94761","102749","21338","16556","44873","","105492","","104160","98083","70747","69972","67530","","","","293825","","","352233","","","77349","102585","","","","22439","","","52595","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404","","373","288","27","","","","","131","376","337","361","345","174","","154","211","295","243","210","212","67","","",
"Israel","ISR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7065","6355","5838","7022","6871","9017","9887","12417","11840","12040","13125","11868","13334","10801","12543","13718","12005","15460","","",
"Italy","ITA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","57964","","","14278","","","","","","24435","","","","","","","","","","","22442","15992","","","3126","3050","4266","3507","7079","4062","4671","4658","5092","5500","5054","7546","4948","4500","6008","11444","18077","","",
"Jamaica","JAM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","11084","16142","15458","","9134","9605","8528","","7101","9120","10022","9407","3290","9481","4268","4865","7735","","10970","","","","","","15020","12526","13264","15232","17616","14446","","","","","","","","","","","","","","",
"Jordan","JOR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","11302","3088","","","","","315","2660","17996","25636","26942","36448","38164","39717","","","","","","","","","","","","","","37409","33794","","24409","20149","21402","","","","","","","","","","","","","","",
"Japan","JPN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","48177","72279","99734","181942","125488","71081","44832","67097","53649","","25606","89492","112813","99981","44206","","","","","","44446","61983","","32600","","","","89435","96947","95001","87891","56871","35658","","","","","","","30423","36868","45381","55421","66652","46745","67266","","",
"Kazakhstan","KAZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46556","22085","14493","13662","11111","9831","13535","12208","5824","3293","","5650","4400","4676","3657","1280","2790","10891","",
"Kenya","KEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1003853","947902","920827","1071226","772857","848910","859861","926813","612063","769992","733817","","","676463","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14239","","","16575","17664","14600","14426","14952","5205","9869","6323","8571","9562","11313","9475","10072","2430","2332","3236","3391","2715","2861","",
"Cambodia","KHM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106075","91826","83640","22761","","","3758","","","44191","22299","34546","","50670","2189","2911","","35927","56387","70056","92515","",
"Kiribati","KIR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","64","198","341","","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","67155","32258","55299","69239","69556","48683","78247","73592","32400","2695","","","","27767","42861","48452","17033","","","","","","","","","","","69428","53150","30396","45777","49587","28399","31714","1719","2717","3652","4981","8820","17490","24034","48829","90340","84289","43282","52028","","",
"Kuwait","KWT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","14741","15600","14483","13648","13427","14116","12183","5057","6637","10617","10917","10907","9539","8367","5587","5546","10834","13578","","","","53417","","26229","","4739","4179","","1781","7341","10820","9214","","8606","9750","","1169","56","","648","415","3011","5068","5619","5808","6959","9847","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3244411","3281642","3267243","3198631","3156704","3178372","3085840","2917245","2827030","2504191","2476906","2348891","2385791","2404783","2410688","2371906","2374764","2375498","2471911","2701814","2586088","2570060","2316902","2289916","2442246","2450134","2238506","2311141","1738709","1383780","1197337","1042314","964592","1125617","1190380","1473857","1643016","1746180","1193926","1197698","1128468","1058552","1116336","1323316","1406098","1392997","1425489","1483992","",
"Lao PDR","LAO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117243","104479","95139","","98051","92773","83197","84586","83320","87446","83638","73239","71943","66292","58431","47864","38993","31678","13914","15711","15602","8574","7590","14517","17469","23762","",
"Lebanon","LBN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23475","","","","","","1994","4683","13033","18506","16280","14215","10375","7322","7027","14936","19037","33867","35705","35203","23817","",
"Liberia","LBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99225","","","","","","","173130","","164043","179015","","193585","","","221288","226568","","","",
"Libya","LBY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","12602","2689","","","","","","9981","","","2056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","1567","1160","","","","","","","","153","","","","","","","","","","901","779","58","204","427","695","386","455","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3402285","3409616","3396166","3325668","3269004","3293172","3205042","3020655","2943674","2634883","2631919","2485433","2549294","2612642","2667685","2632567","2639911","2650043","2748076","2983779","2875661","2812619","2541644","2477258","2619810","2628145","2414025","2703729","1867662","1495797","1308045","1143971","1063554","1234601","1266680","1554145","1718925","1821294","1270631","1299399","1221894","1168825","1230640","1446820","1543297","1526807","1554674","1612996","",
"Least developed countries: UN classification","LDC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","12651313","12706367","12321709","11943178","12353748","12179768","12053242","11979524","11992246","12171385","12196737","12426033","12825427","12951987","13720697","14296488","14717156","15384999","15347536","16050497","16886926","16980666","17632817","18197871","18382672","18086098","18333708","17944082","18440584","19109570","18391255","17628773","16512840","15343828","14683758","13642063","13008602","12733773","11647531","11954782","12278727","11712485","11745758","11558359","11801282","12178229","12366171","12688079","",
"Low income","LIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","9389448","9539337","9468871","9403001","9315889","9354112","9452119","9236784","9094169","9486881","9556385","9884173","10204821","10497505","11151577","11595509","12277878","13073974","13230256","14009139","14551688","14740937","14345337","14609079","14183276","14659459","15269583","14825447","14204109","13239834","12379167","11895336","11170011","10580686","10068211","9197345","9215708","9558882","9211198","9083473","9276723","9678084","10065830","10262007","10555344","",
"Liechtenstein","LIE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","",
"Sri Lanka","LKA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3922","","22430","24892","27432","34063","51476","35927","33448","32200","22486","16075","","","","",
"Lower middle income","LMC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","24324921","24457077","23888303","22895683","23237820","23012064","22784855","21591461","21671211","21213843","20727542","20214064","19454409","19096606","19188469","19730908","20075143","20750635","20355317","20048924","20517678","20908836","21219941","20946151","20563419","21260146","21880062","22159749","22166237","21874734","20471856","20634176","21213839","20569451","18671836","17257145","16505881","13487238","15113111","16153093","15394285","15987614","15019125","15044612","14682366","14377880","13838842","14113116","",
"Low & middle income","LMY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","42438030","43273511","42860632","41055968","41046536","40411938","39946711","39393910","40539179","39815881","38770119","37746788","37485869","37195972","37297518","37258278","37077814","37600594","37320512","37026125","37746019","38047433","39852434","41113605","42315613","44215101","46020208","46489363","45185799","43337132","40998237","39574867","36351872","34864384","32405947","32244094","31656652","27595994","27784251","28946703","28537049","28782920","27749846","28146691","28132398","28045736","27802490","28492809","",
"Lesotho","LSO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","52374","","57263","57570","51512","","52797","53393","60895","61481","61620","61955","58077","59953","60230","58059","58294","57090","56039","57725","60061","59021","59027","62882","60406","60809","60976","","72974","78525","41685","41242","40009","39894","43705","45062","44358","48021","46093","45078","40154","36717","34460","38309","36944","36795","36297","34292","",
"Late-demographic dividend","LTE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","4359906","3659211","3328404","3292456","3310690","3395310","4129008","4901929","5988468","7295376","8162231","9006374","7148848","5124033","4596955","3995223","1534697","1620282","1590195","3391104","4004950","3398023","2594591","2764439","2695739","2600359","2564675","2688311","2611377","2631024","2590804","2687117","",
"Lithuania","LTU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4178","4009","2588","1848","1798","1778","1391","1400","1104","993","719","684","483","415","452","277","201","193","210","","",
"Luxembourg","LUX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","1517","1756","1304","1445","1494","1687","1697","","","3006","2218","2242","2404","","2376","2809","2070","","","","","","","","","","","592","658","601","547","770","673","486","407","372","531","","1029","1196","903","1064","796","501","242","","",
"Latvia","LVA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3112","","","","","","","","","952","1458","1351","1326","1847","2218","2450","2502","2406","","",
"Macao SAR, China","MAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1533","","2715","","","","","","","3067","3188","3684","3294","3188","2861","2700","2771","2354","2195","2316","2252","1923","1634","1333","781","262","205","161","",
"St. Martin (French part)","MAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","646858","612799","550814","502398","469234","431677","395119","400136","371905","335856","367197","407198","454226","500230","556773","562459","693402","705606","675299","634103","583468","540845","511516","555400","476236","395537","335353","260264","239738","242278","217175","187923","164093","155625","172784","125794","115570","131311","108415","119995","","100313","56663","",
"Monaco","MCO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8873","3993","4415","3245","3321","6291","8672","8404","7475","7552","7708","6917","7138","7182","7601","7560","7501","8038","",
"Madagascar","MDG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","161304","","","","","","","","","","","","","","","","","267580","288753","","","","","446330","411354","","","371547","369304","367993","372183","266025","","","","","","","","","","","","","","","",
"Maldives","MDV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1291","","1155","953","639","540","","","402","474","670","890","582","","","","","","713","526","111","",
"Middle East & North Africa","MEA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","2839583","2925904","2741980","2708594","2692512","2616688","2463480","2415855","2382177","2491297","2386158","2476468","2471669","2499436","2427559","2514873","2519884","2488521","2546945","2682418","2369111","2408925","2787592","2872809","2732232","2939360","2766163","2783082","2904873","3008443","2801482","2287956","1874621","1702830","1428891","1412456","1366736","1073493","958303","823497","627366","737661","680116","1078711","1290594","1246017","1273836","1217207","",
"Mexico","MEX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","914680","","","","","","","","","","","","","","","","","","","","","","","","","","300911","296164","107979","79594","75128","70425","60905","100119","178667","244241","259533","262564","228786","184121","147456","140204","157170","163367","150456","131323","","",
"Marshall Islands","MHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","","","","","","","","","","","","1082","1097","","",
"Middle income","MIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","33563567","34196254","33562859","31666520","31507199","30943067","30543709","30078021","31185068","30363762","29533335","28652619","27998988","27639587","27413345","27053458","26580310","26449018","25725003","24748248","24672044","24817177","25843294","26561917","27574676","29869764","31411130","32306086","30526340","28067548","26172790","25370758","23112037","22485217","20510611","21074084","21075966","17527783","18586906","19730995","18978167","19571723","18666373","18869968","18454314","17979906","17540483","17937465","",
"North Macedonia","MKD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4837","4901","2210","3058","3963","4510","3966","3794","4337","4317","5960","4916","2744","","6130","6783","6271","4836","","","",
"Mali","MLI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","347795","","","","","","","","","","","","","","","","","","","","","","","","","","","","426871","","","394456","406504","441442","382742","384860","375842","","319784","324172","329032","376861","","471402","534288","525840","468130","",
"Malta","MLT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","3718","3745","4029","3765","2987","1843","1073","362","257","568","820","1122","1206","1158","647","836","1054","1152","1036","846","674","567","462","683","408","300","241","","","","","","","","","","","","","","317","254","104","243","332","","","",
"Myanmar","MMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","578648","","438812","682966","","","","635987","","","","","","","","","","","","","","","","","","","","","","164168","133338","197771","154380","191648","209246","205399","360516","202381","233472","259124","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","2552176","2625663","2433511","2390755","2365968","2283792","2117022","2062102","2021592","2108854","1985818","2056367","2037005","2048805","1968031","2042623","2038007","1998834","2043350","2162866","1831176","1837418","2203243","2291280","2160376","2393579","2247353","2282494","2431651","2557233","2361176","1860496","1473293","1324923","1079431","1088853","1080666","840592","763740","660191","542988","648192","634786","991124","1196127","1199197","1154085","1095044","",
"Montenegro","MNE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471","","348","176","601","613","","","1798","886","","","1017","1017","703","",
"Mongolia","MNG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17982","15021","20384","16243","13304","10440","8737","9403","16689","7884","10614","3970","2855","1839","3607","1928","1478","2019","4454","4249","2138","862","849","",
"Northern Mariana Islands","MNP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","374026","","","","","","382804","","429730","448362","329884","","322285","335666","452887","","499016","","500989","527496","546260","542600","526097","","","728829","697116","661715","613626","747114","","552181","471621","413376","317058","258182","250752","223474","290683","293256","272041","264943","226745","278916","327590","",
"Mauritania","MRT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92890","82594","79908","","80558","85360","87056","80766","86326","82182","68932","75050","70098","70487","82412","85571","86923","88767","95891","88253","84229","","99624","84132","",
"Mauritius","MUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","17918","16954","15651","14089","13438","10664","12284","14269","14016","11794","7518","5336","3427","","1176","","","","2140","5011","","4754","3961","3360","1840","1300","2674","4781","4519","5112","4156","4573","3949","2746","2735","2398","2170","2410","2627","2525","4036","2760","2377","2375","2916","2273","",
"Malawi","MWI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29118","","","","","50550","57722","83066","144870","66516","64773","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","91387","107885","98786","","","","","","","","","","","","","","","","","","","","","","43633","","","","62231","58301","27160","36089","55453","47989","12015","8204","95697","91783","77627","83151","56560","43925","14041","","","8600","15059","23819","",
"North America","NAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","1088704","876094","671056","528560","374217","238172","174123","286032","409641","536371","421825","563433","547426","530669","544453","521871","561447","696023","583311","646302","555951","516831","417176","394259","629268","730708","928598","796867","787178","805091","735796","495467","504152","",
"Namibia","NAM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31426","31486","","26903","","","","","","24223","25176","22733","22113","20731","21496","26357","26668","30746","26860","27564","27892","28238","","24383","20429","","","","7850","",
"New Caledonia","NCL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","354852","365004","","","","","","","","","","","","407635","","","461685","481447","493837","524532","","","","","577432","595316","603906","623896","606646","583734","566034","549337","582116","594705","606536","597171","575691","545554","499634","506644","537023","568020","563356","568534","537778","",
"Nigeria","NGA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3038587","2778901","","","","2956890","3010724","3106242","2462259","3478530","3482697","3652168","","","","","","","","",
